26-03-31 10:28:34.414 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
26-03-31 10:28:34.455 [Test worker] INFO  c.s.m.d.c.UserControllerTest - Starting UserControllerTest using Java 17.0.17 with PID 7375 (started by jiho in /Users/jiho/codeit/discodeit)
26-03-31 10:28:34.455 [Test worker] INFO  c.s.m.d.c.UserControllerTest - The following 1 profile is active: "test"
26-03-31 10:28:35.192 [Test worker] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
26-03-31 10:28:35.340 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
26-03-31 10:28:35.340 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
26-03-31 10:28:35.342 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
26-03-31 10:28:35.396 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
26-03-31 10:28:35.423 [Test worker] INFO  c.s.m.d.c.UserControllerTest - Starting UserControllerTest using Java 17.0.17 with PID 7382 (started by jiho in /Users/jiho/codeit/discodeit)
26-03-31 10:28:35.424 [Test worker] INFO  c.s.m.d.c.UserControllerTest - The following 1 profile is active: "test"
26-03-31 10:28:36.123 [Test worker] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
26-03-31 10:28:36.234 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
26-03-31 10:28:36.234 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
26-03-31 10:28:36.235 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
26-03-31 10:28:36.247 [Test worker] INFO  c.s.m.d.c.UserControllerTest - Started UserControllerTest in 1.019 seconds (process running for 1.474)
26-03-31 10:28:36.292 [Test worker] WARN  c.s.m.d.e.GlobalExceptionHandler - 요청 경로를 찾을 수 없음: api/users
26-03-31 10:37:25.224 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
26-03-31 10:37:25.243 [Test worker] INFO  c.s.m.d.c.UserControllerTest - Starting UserControllerTest using Java 17.0.17 with PID 7461 (started by jiho in /Users/jiho/codeit/discodeit)
26-03-31 10:37:25.243 [Test worker] INFO  c.s.m.d.c.UserControllerTest - The following 1 profile is active: "test"
26-03-31 10:37:25.867 [Test worker] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
26-03-31 10:37:25.970 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
26-03-31 10:37:25.970 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
26-03-31 10:37:25.971 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
26-03-31 10:37:25.983 [Test worker] INFO  c.s.m.d.c.UserControllerTest - Started UserControllerTest in 0.879 seconds (process running for 1.242)
26-03-31 10:37:26.027 [Test worker] WARN  c.s.m.d.e.GlobalExceptionHandler - 요청 경로를 찾을 수 없음: api/users
26-03-31 10:42:16.978 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
26-03-31 10:42:16.995 [Test worker] INFO  c.s.m.d.c.UserControllerTest - Starting UserControllerTest using Java 17.0.17 with PID 7503 (started by jiho in /Users/jiho/codeit/discodeit)
26-03-31 10:42:16.996 [Test worker] INFO  c.s.m.d.c.UserControllerTest - The following 1 profile is active: "test"
26-03-31 10:42:17.603 [Test worker] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
26-03-31 10:42:17.707 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
26-03-31 10:42:17.707 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
26-03-31 10:42:17.708 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
26-03-31 10:42:17.720 [Test worker] INFO  c.s.m.d.c.UserControllerTest - Started UserControllerTest in 0.865 seconds (process running for 1.218)
26-03-31 10:42:17.762 [Test worker] WARN  c.s.m.d.e.GlobalExceptionHandler - 요청 경로를 찾을 수 없음: api/users
